participant,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS,IRI_total,IRI_FS,IRI_EC,IRI_PD,IRI_PT
5914b7b50a4b9d0001add64f,0.020869565,0.022962963,0.48,0.62,0.46,0.54,0,0,24,3.333333333,39.0,10.0,9.0,9.0,11.0
5beaed3f0af61d0001968d9a,0.033846154,0.03,0.44,1.08,0.265306122,0.734693878,1,0,30,3.916666667,73.0,20.0,18.0,14.0,21.0
5c523d16102de10001022098,0.029210526,0.031666667,1.11,0.38,0.76,0.24,0,1,15,6.333333333,69.0,23.0,20.0,13.0,13.0
5dc368ce880a2927e264dbec,0.029473684,0.032258065,0.56,1.0,0.38,0.62,0,0,26,4.416666667,73.0,19.0,23.0,16.0,15.0
5e70d4869ffb1404cb1f5070,0.024444444,0.022173913,0.66,0.51,0.54,0.46,1,1,15,6.0,84.0,24.0,24.0,15.0,21.0
5efc9ea8f8e7950584b12e87,0.032258065,0.031578947,1.0,0.6,0.62,0.38,1,1,19,5.75,35.0,11.0,12.0,3.0,9.0
5f2f566ddaea2a3417b75920,0.021304348,0.022592593,0.49,0.61,0.46,0.54,0,0,32,5.25,69.0,5.0,27.0,25.0,12.0
5f3964ca4539e00bd5ce47fb,0.02875,0.028076923,0.69,0.73,0.48,0.52,1,0,28,5.333333333,71.0,18.0,20.0,21.0,12.0
5f793609f8089e53266336f5,0.030232558,0.03,1.3,0.21,0.86,0.14,1,1,19,6.5,76.0,18.0,20.0,13.0,25.0
5f8c70c9c8e71c0b49e49797,0.028,0.029142857,0.42,1.02,0.3,0.7,0,0,22,5.75,53.0,11.0,16.0,13.0,13.0
5f94977cf830e82e361b9de1,0.03,0.030882353,0.48,1.05,0.32,0.68,0,0,18,4.333333333,66.0,15.0,24.0,10.0,17.0
5f963718a844b719781e9e85,0.022222222,0.025,0.4,0.8,0.36,0.64,0,0,30,4.416666667,59.0,14.0,23.0,8.0,14.0
60fc6bdffe3e6e8caf924670,0.022272727,0.023571429,0.49,0.66,0.44,0.56,0,0,17,7.0,92.0,24.0,24.0,24.0,20.0
60fd7f782b0c5f0b6503302a,0.03047619,0.03125,1.28,0.25,0.84,0.16,0,1,21,3.166666667,62.0,5.0,23.0,15.0,19.0
60fd89617258b322c92fdd03,0.030384615,0.02625,0.79,0.63,0.52,0.48,1,1,27,5.916666667,77.0,24.0,25.0,16.0,12.0
60fd9a010279e0f7e338571a,0.031153846,0.026666667,0.81,0.64,0.52,0.48,1,1,15,5.916666667,62.0,14.0,23.0,5.0,20.0
60fdae513bfebe2fe0122138,0.030434783,0.025769231,0.7,0.67,0.469387755,0.530612245,1,0,24,5.25,94.0,24.0,24.0,18.0,28.0
60fdce10226d20ddc8990f04,0.022380952,0.024482759,0.47,0.71,0.42,0.58,0,0,20,5.333333333,82.0,20.0,22.0,21.0,19.0
60fe2fb42ec6d443757a92fc,0.033571429,0.032727273,0.94,0.72,0.56,0.44,1,1,27,7.0,78.0,18.0,26.0,12.0,22.0
60fed38a8adb46e44e0869a5,0.024074074,0.026956522,0.65,0.62,0.54,0.46,0,1,21,5.0,82.0,27.0,26.0,13.0,16.0
60ff0c8a83c4bf36bf52df28,0.0316,0.0324,0.79,0.81,0.5,0.5,0,0,19,5.583333333,52.0,11.0,17.0,12.0,12.0
60ff2035293107014b9770e8,0.032142857,0.029166667,0.45,1.05,0.28,0.72,1,0,32,5.333333333,59.0,17.0,20.0,8.0,14.0
60ff9a9aad04eb7ef6cae70a,0.025,0.0265625,0.45,0.85,0.36,0.64,0,0,25,3.0,56.0,19.0,12.0,14.0,11.0
610040d9d3e1fbd63a3f41e5,0.0292,0.028,0.73,0.7,0.5,0.5,1,0,20,6.166666667,78.0,14.0,19.0,23.0,22.0
61009741973fdb40344de5e7,0.026315789,0.030833333,1.0,0.37,0.76,0.24,0,1,13,6.0,69.0,17.0,22.0,12.0,18.0
6100b292b7fc7f30ec9132dc,0.03030303,0.027058824,1.0,0.46,0.66,0.34,1,1,23,6.166666667,68.0,10.0,21.0,13.0,24.0
6101667971d68405d105698a,0.025454545,0.025357143,0.56,0.71,0.44,0.56,1,0,24,4.416666667,76.0,25.0,18.0,14.0,19.0
61023e0830e893bec6bd8f3c,0.029032258,0.028947368,0.9,0.55,0.62,0.38,1,1,15,6.916666667,87.0,19.0,24.0,24.0,20.0
6102c8ad26a015adcd8aaac4,0.02,0.024,0.5,0.6,0.5,0.5,0,0,20,5.583333333,89.0,25.0,26.0,21.0,17.0
610321b49114d026a41efd28,0.032,0.033666667,0.64,1.01,0.4,0.6,0,0,22,5.0,74.0,21.0,21.0,16.0,16.0
6103fa5faa24894dcd2cda34,0.04,0.03,0.16,1.35,0.081632653,0.918367347,1,0,24,4.75,66.0,12.0,23.0,14.0,17.0
610421096c1af729ade5aac1,0.026666667,0.021176471,0.88,0.36,0.66,0.34,1,1,29,5.416666667,68.0,19.0,19.0,14.0,16.0
610808ab1708833b02eb8a57,0.035294118,0.033939394,0.6,1.12,0.34,0.66,1,0,24,6.25,87.0,28.0,25.0,18.0,16.0
61083f623522116ea15fdc05,0.030322581,0.030526316,0.94,0.58,0.62,0.38,0,1,10,5.75,59.0,22.0,9.0,17.0,11.0
610854af9b70aacc11550cde,0.028888889,0.0315625,0.52,1.01,0.36,0.64,0,0,21,5.083333333,72.0,21.0,21.0,10.0,20.0
61088cda72a1106216fa4858,0.024814815,0.022608696,0.67,0.52,0.54,0.46,1,1,25,6.583333333,45.0,12.0,15.0,9.0,9.0
610934fd924a7b98497b2108,0.0353125,0.033333333,1.13,0.6,0.64,0.36,1,1,16,6.166666667,74.0,28.0,18.0,10.0,18.0
610999f68d373b548447abfe,0.032592593,0.029130435,0.88,0.67,0.54,0.46,1,1,23,5.416666667,74.0,19.0,21.0,11.0,23.0
6109c9dd829e3b0e3a87b8e8,0.031904762,0.030344828,0.67,0.88,0.42,0.58,1,0,21,6.916666667,67.0,16.0,19.0,14.0,18.0
6109d72bcd6919f7b64afbe3,0.028333333,0.0295,0.85,0.59,0.6,0.4,0,1,19,5.166666667,70.0,17.0,27.0,10.0,16.0
610a06e4613ff666139fd6d9,0.028285714,0.026,0.99,0.39,0.7,0.3,1,1,26,4.166666667,55.0,16.0,15.0,12.0,12.0
610c59ee34cc312d7ca55e45,0.031081081,0.03,1.15,0.39,0.74,0.26,1,1,16,6.166666667,57.0,10.0,19.0,9.0,19.0
610d3d786149dbd00d635e26,0.037777778,0.035217391,1.02,0.81,0.54,0.46,1,1,22,5.5,73.0,21.0,17.0,18.0,17.0
610dd86540919edb725d1f3f,0.027096774,0.025263158,0.84,0.48,0.62,0.38,1,1,16,4.583333333,59.0,13.0,13.0,11.0,22.0
61110e69c5c85f3be8c8ebb4,0.023181818,0.022142857,0.51,0.62,0.44,0.56,1,0,20,7.0,76.0,22.0,20.0,15.0,19.0
61111442bb1b255927718949,0.024444444,0.020869565,0.66,0.48,0.54,0.46,1,1,25,5.166666667,58.0,15.0,18.0,11.0,14.0
6111303587fe414ecadd44fb,0.026,0.026666667,0.52,0.8,0.4,0.6,0,0,32,5.666666667,83.0,19.0,18.0,19.0,27.0
61113effc33961d5c253618a,0.0265625,0.018888889,0.85,0.34,0.64,0.36,1,1,20,5.666666667,79.0,22.0,24.0,17.0,16.0
6111646d1922d97d81f4f9c1,0.034375,0.033333333,1.1,0.6,0.64,0.36,1,1,10,7.0,91.0,28.0,26.0,12.0,25.0
611188e5b3c601c90fc9a4f6,0.031282051,0.031818182,1.22,0.35,0.78,0.22,0,1,12,6.583333333,71.0,13.0,20.0,24.0,14.0
611267d44fb8536ce68fe464,0.030434783,0.028888889,0.7,0.78,0.46,0.54,1,0,24,7.0,87.0,20.0,25.0,23.0,19.0
611292e82906a9ff09cdf126,0.028947368,0.03,1.1,0.36,0.76,0.24,0,1,16,6.666666667,60.0,17.0,18.0,12.0,13.0
611325c23a34bedb5feed16b,0.033846154,0.0275,0.88,0.66,0.52,0.48,1,1,24,6.0,64.0,14.0,18.0,16.0,16.0
6113ef42af7454532d9efcce,0.023043478,0.023333333,0.53,0.63,0.46,0.54,0,0,13,6.333333333,79.0,18.0,26.0,11.0,24.0
611436cc1510765b6b76f89c,0.022692308,0.02125,0.59,0.51,0.52,0.48,1,1,26,4.0,56.0,14.0,14.0,14.0,14.0
6114f601f6b1fb77d261f013,0.0225,0.028292683,0.18,1.16,0.163265306,0.836734694,0,0,44,6.0,19.0,1.0,6.0,0.0,12.0
6117efedb574017076d5b499,0.036153846,0.030810811,0.47,1.14,0.26,0.74,1,0,21,5.333333333,64.0,17.0,16.0,15.0,16.0
