,participant,avg_spent_social,avg_spent_nonsocial,total_spent_social,total_spent_nonsocial,prop_social,prop_nonsocial,moresocial,prop_moresocial,AQ,MSPSS
2,5c523d16102de10001022098,0.029210526,0.031666667,1.11,0.38,0.76,0.24,0,1,22,6.333333333
4,5e70d4869ffb1404cb1f5070,0.024444444,0.022173912999999996,0.66,0.51,0.54,0.46,1,1,19,6.0
5,5efc9ea8f8e7950584b12e87,0.032258065,0.031578947,1.0,0.6,0.62,0.38,1,1,32,5.75
8,5f793609f8089e53266336f5,0.030232558,0.03,1.3,0.21,0.86,0.14,1,1,10,6.5
12,60fd7f782b0c5f0b6503302a,0.03047619,0.03125,1.28,0.25,0.84,0.16,0,1,22,3.166666667
13,60fd9a010279e0f7e338571a,0.031153846000000002,0.026666667,0.81,0.64,0.52,0.48,1,1,13,5.916666667
16,60fe2fb42ec6d443757a92fc,0.033571429,0.032727273,0.94,0.72,0.56,0.44,1,1,15,7.0
17,60fed38a8adb46e44e0869a5,0.024074073999999997,0.026956522000000004,0.65,0.62,0.54,0.46,0,1,20,5.0
20,61009741973fdb40344de5e7,0.026315789,0.030833332999999997,1.0,0.37,0.76,0.24,0,1,25,6.0
21,6100b292b7fc7f30ec9132dc,0.03030303,0.027058824,1.0,0.46,0.66,0.34,1,1,24,6.166666667
23,61023e0830e893bec6bd8f3c,0.029032258,0.028947367999999998,0.9,0.55,0.62,0.38,1,1,16,6.916666667
27,610421096c1af729ade5aac1,0.026666667,0.021176471000000002,0.88,0.36,0.66,0.34,1,1,16,5.416666667
29,61083f623522116ea15fdc05,0.030322581,0.030526316,0.94,0.58,0.62,0.38,0,1,15,5.75
31,61088cda72a1106216fa4858,0.024814815,0.022608696,0.67,0.52,0.54,0.46,1,1,20,6.583333333
32,610934fd924a7b98497b2108,0.0353125,0.033333333,1.13,0.6,0.64,0.36,1,1,23,6.166666667
33,610999f68d373b548447abfe,0.032592592999999996,0.029130435,0.88,0.67,0.54,0.46,1,1,10,5.416666667
35,6109d72bcd6919f7b64afbe3,0.028333333,0.0295,0.85,0.59,0.6,0.4,0,1,16,5.166666667
36,610a06e4613ff666139fd6d9,0.028285714,0.026000000000000002,0.99,0.39,0.7,0.3,1,1,21,4.166666667
37,610c59ee34cc312d7ca55e45,0.031081081,0.03,1.15,0.39,0.74,0.26,1,1,44,6.166666667
38,610d3d786149dbd00d635e26,0.037777778,0.035217391,1.02,0.81,0.54,0.46,1,1,22,5.5
39,610dd86540919edb725d1f3f,0.027096774,0.025263157999999997,0.84,0.48,0.62,0.38,1,1,15,4.583333333
41,61111442bb1b255927718949,0.024444444,0.020869565,0.66,0.48,0.54,0.46,1,1,21,5.166666667
42,61113effc33961d5c253618a,0.0265625,0.018888889,0.85,0.34,0.64,0.36,1,1,32,5.666666667
43,6111646d1922d97d81f4f9c1,0.034375,0.033333333,1.1,0.6,0.64,0.36,1,1,16,7.0
44,611188e5b3c601c90fc9a4f6,0.031282051,0.031818182,1.22,0.35,0.78,0.22,0,1,27,6.583333333
46,611292e82906a9ff09cdf126,0.028947367999999998,0.03,1.1,0.36,0.76,0.24,0,1,24,6.666666667
